platform,OS X 11.6.0 [arm 2],OS X 12.0.1 [arm 2],OS X 12.1.0 [arm 2],OS X 12.5.0 [arm 2],OS X 12.5.1 [arm 2],OS X 12.6.0 [arm 2],Partner SCEI sony_tv;ps4;9b18101888dd42948afd0b8792122bec;;tpapi,Partner windows_tv microsoft;xbox_series_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,Windows 10 (10.0.19043; x64; AppX),Windows 10 (10.0.22000; x64; AppX),android,"iOS 15.0 (iPhone9,1)","iOS 15.0.1 (iPhone9,1)","iOS 15.0.2 (iPhone9,1)","iOS 15.1 (iPhone10,6)","iOS 15.1 (iPhone12,1)","iOS 15.2 (iPhone12,1)","iOS 15.2.1 (iPhone12,1)","iOS 15.3 (iPhone14,2)","iOS 15.3.1 (iPhone14,2)","iOS 15.4.1 (iPhone14,2)","iOS 16.0 (iPhone14,2)",ios,osx,playstation,xbox
android,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04643300408589707,1.0000000000000002,0.09774414156148521,0.025899853190017797,0.06031749449874262,0.0,0.03671362667482873,0.012211803607583342,0.041274971830687644,0.03330225736028156,0.0881978410741925,0.0253834510254016,0.0365087137680942,0.3820048297551188,0.3169722953154678,0.0,0.3041655860204204
"iOS 15.0 (iPhone9,1)",0.4456897494968349,0.2981636602164692,0.151982451096826,0.38411254208731443,0.06850245453463982,0.025168949524952276,0.3099840082244712,0.2043228444635684,0.1609573461528209,0.4968637322163779,0.09774414156148521,1.0,0.5370715395023871,0.5127340936258002,0.33441201814001803,0.551299600151823,0.4547740572202207,0.4018758128020305,0.41437604956718294,0.44365882927964434,0.38037271369338505,0.5542379790172722,0.36236375193338016,0.32968711545816354,0.026457342446123674,0.032163630304683014
"iOS 15.0.1 (iPhone9,1)",0.4362696905375975,0.29796453064031625,0.14851720005124827,0.2370006635764105,0.09968960618101219,0.0,0.16792562879372433,0.2231553784411748,0.1502355869817678,0.3938999981111854,0.025899853190017797,0.5370715395023871,1.0,0.5960816936479512,0.36219922384181225,0.5817457528682554,0.4592555053731394,0.452533038553926,0.4327694111534775,0.4440160925493234,0.41896540467786686,0.5324558871100221,0.3491189881956572,0.27280504691748386,0.08511458943780671,0.011096417831381995
"iOS 15.0.2 (iPhone9,1)",0.5364102693836375,0.4643451433108773,0.22417058289209685,0.2341495597028214,0.08218419054049726,0.0,0.30021209318274517,0.23493193840771248,0.17208920278153536,0.3705956595693738,0.06031749449874262,0.5127340936258002,0.5960816936479512,1.0,0.6792468868237108,0.8043805787645495,0.5993884575008331,0.48222078666116325,0.5346205906304543,0.5820884667654103,0.49087569864514813,0.6175338355609006,0.3980622261700267,0.3184421492774777,0.06736477288289536,0.0069798523604094834
"iOS 15.1 (iPhone10,6)",0.37322362197010706,0.34469476402097005,0.16128767942897299,0.12831362058691778,0.03465520031797483,0.0,0.25352865712515515,0.07068463539338699,0.09169496798600751,0.2878103730954221,0.0,0.33441201814001803,0.36219922384181225,0.6792468868237108,0.9999999999999997,0.6740263766067445,0.4885870129090462,0.42171985443373683,0.45343044713326525,0.49687159384702273,0.4389378371741754,0.5092420566152323,0.3167071923865738,0.2523701355040448,0.04776752452429027,0.01924513602106392
"iOS 15.1 (iPhone12,1)",0.45502539980333484,0.6170257159367829,0.25692987380479765,0.26829797003925737,0.10501647934689935,0.0,0.2881497635091649,0.25562941504346365,0.1692273042697277,0.4359892155714816,0.03671362667482873,0.551299600151823,0.5817457528682554,0.8043805787645495,0.6740263766067445,1.0000000000000004,0.6766059649137367,0.5587415721643022,0.5415797198956304,0.6219910410079447,0.5272923320648396,0.6292144872703932,0.40871736404393366,0.33288133861125063,0.0795964517978349,0.03749995194879796
"iOS 15.2 (iPhone12,1)",0.36394867764719324,0.5538281692849485,0.23004895608037695,0.30065753784172417,0.12041521390915036,0.05894769065980152,0.3749158922488533,0.21044711086616777,0.1810989549565854,0.3195913963136509,0.012211803607583342,0.4547740572202207,0.4592555053731394,0.5993884575008331,0.4885870129090462,0.6766059649137367,1.0000000000000002,0.5835696232676731,0.5583044089891747,0.5796894576799907,0.5055600670938598,0.6252654360072971,0.4273583657796375,0.38484477236323494,0.032428152893983264,0.14870090330777797
"iOS 15.2.1 (iPhone12,1)",0.3683950075213125,0.3600505079721837,0.23184934425170742,0.28550922109755383,0.11789955829838933,0.06641291081022904,0.25144061828145914,0.16774884109516622,0.11952280776128882,0.32046316988672635,0.041274971830687644,0.4018758128020305,0.452533038553926,0.48222078666116325,0.42171985443373683,0.5587415721643022,0.5835696232676731,1.0000000000000002,0.6252580931105437,0.6063604425779193,0.4778822577154116,0.5798910852764274,0.39528119356671615,0.3330614818416672,0.07064244006204337,0.04356056322089511
"iOS 15.3 (iPhone14,2)",0.3836559939693266,0.3841590367913337,0.3524393528111109,0.25939712064728443,0.11385241154530552,0.026792263564954028,0.28610565724716747,0.1544892746564557,0.18346354948815435,0.3444405479384921,0.03330225736028156,0.41437604956718294,0.4327694111534775,0.5346205906304543,0.45343044713326525,0.5415797198956304,0.5583044089891747,0.6252580931105437,0.9999999999999999,0.5886924248032269,0.5042084986192845,0.5980747276221264,0.3725036768922273,0.32081019860723603,0.02598765374022877,0.03116435045686538
"iOS 15.3.1 (iPhone14,2)",0.405088308439569,0.419684026251823,0.2658722439418507,0.29098529317400457,0.14175278376391384,0.06068566727211197,0.3184489891316962,0.19641890315447783,0.17129736856268557,0.359963319389502,0.0881978410741925,0.44365882927964434,0.4440160925493234,0.5820884667654103,0.49687159384702273,0.6219910410079447,0.5796894576799907,0.6063604425779193,0.5886924248032269,0.9999999999999998,0.6040877963298218,0.6473261686162103,0.4392583973932895,0.37922062634026515,0.048602920156217526,0.005103062671291461
"iOS 15.4.1 (iPhone14,2)",0.3490388151809395,0.3733089308619346,0.2799511640897392,0.2572574467702931,0.21221284532555773,0.01778934484561624,0.4580055742031502,0.2152748929334282,0.2803260470103893,0.3763232160132175,0.0253834510254016,0.38037271369338505,0.41896540467786686,0.49087569864514813,0.4389378371741754,0.5272923320648396,0.5055600670938598,0.4778822577154116,0.5042084986192845,0.6040877963298218,0.9999999999999996,0.719435285124356,0.41764715043368145,0.3799974261055853,0.02687183980484681,0.013016055592363199
"iOS 16.0 (iPhone14,2)",0.40705741921414146,0.42855051222430235,0.34679154811905244,0.42705083403362987,0.2147745987179953,0.10809440757246822,0.3683445362940183,0.2314669335745086,0.2607872512203844,0.406363739085271,0.0365087137680942,0.5542379790172722,0.5324558871100221,0.6175338355609006,0.5092420566152323,0.6292144872703932,0.6252654360072971,0.5798910852764274,0.5980747276221264,0.6473261686162103,0.719435285124356,0.9999999999999999,0.5221336638240139,0.44587160148091304,0.11620515736916243,0.047453505018369035
ios,0.2632758782749242,0.2928832978634464,0.1685407835438316,0.24024287205822384,0.12229888670535922,0.08556953878268325,0.2030614002379307,0.19629840586803005,0.1258391314936328,0.25396774432930125,0.3820048297551188,0.36236375193338016,0.3491189881956572,0.3980622261700267,0.3167071923865738,0.40871736404393366,0.4273583657796375,0.39528119356671615,0.3725036768922273,0.4392583973932895,0.41764715043368145,0.5221336638240139,0.9999999999999997,0.8613715253393219,0.13779675569077182,0.3411855595279874
osx,0.2580826542766138,0.25695883654638935,0.19814524040947545,0.2081353927923358,0.11449327643141352,0.0576740498239545,0.19991885096844725,0.19297085695968447,0.1290172825363909,0.24230837541239433,0.3169722953154678,0.32968711545816354,0.27280504691748386,0.3184421492774777,0.2523701355040448,0.33288133861125063,0.38484477236323494,0.3330614818416672,0.32081019860723603,0.37922062634026515,0.3799974261055853,0.44587160148091304,0.8613715253393219,0.9999999999999997,0.09894875780181073,0.30767385243675455
playstation,0.025134662074487227,0.08939866432579646,0.07027073411674162,0.01751675895978906,0.08694406071022241,0.20147449913485188,0.01382336318993467,0.04988655782759877,0.07985735719679272,0.007655249970101277,0.0,0.026457342446123674,0.08511458943780671,0.06736477288289536,0.04776752452429027,0.0795964517978349,0.032428152893983264,0.07064244006204337,0.02598765374022877,0.048602920156217526,0.02687183980484681,0.11620515736916243,0.13779675569077182,0.09894875780181073,1.0,0.0
xbox,0.015060676664737229,0.04092448285351434,0.0,0.0,0.0,0.0,0.02619259898592546,0.07712326416491434,0.0,0.014505217713579314,0.3041655860204204,0.032163630304683014,0.011096417831381995,0.0069798523604094834,0.01924513602106392,0.03749995194879796,0.14870090330777797,0.04356056322089511,0.03116435045686538,0.005103062671291461,0.013016055592363199,0.047453505018369035,0.3411855595279874,0.30767385243675455,0.0,1.0000000000000002
